CPU only time (ns): 1.15535e+10
PIM only time (ns): 1.09151e+10
Reuse offloading time (ns): 5.54602e+09 = CPU 3.27693e+08 + PIM 5.21827e+09 + REUSE 58410 + SWITCH 8760
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
    219         P        16895.3          79170       -62274.7  5f20208e7fa79f71  919cd57f11aa5c2f
    220         C        4.33333           1952       -1947.67  5f673b0dd0fa8613  fc5294b5d689b1e7
    221         C        5221.66          15877       -10655.3  5fa305b7c81c9b7a  db1b68fc70ea3246
    222         C    3.60684e+06    4.58756e+07   -4.22688e+07  5fec3a1651e66cd5  e659f465e5acad61
    223         P    8.99363e+06           4471    8.98916e+06  606d4bf389c1e969  c6f7fb5b66ca6ea6
    224         P    9.84044e+06     4.3416e+06    5.49884e+06  6159c8569ba3722d  60662a34ae7f0a70
    225         P        17.3333            450       -432.667  61e7138453dc4442  86a78cafcabb386b
    226         C        90392.6    9.31344e+06   -9.22305e+06  61f11c8c388b8d8b  d2e6592df18ae409
    227         P     1.2493e+08    2.32506e+07    1.01679e+08  62aa5e7762806966  bcc4092dd7b52b9a
    228         C        15.3333           1472       -1456.67  62fb16939f15108f  15538cca4cbd1f47
    229         P         623970         230448         393522  63065881935c484f  dac040a5c5acf383
    230         C    3.72039e+06    4.51181e+07   -4.13977e+07  63aed6969d1786a3  73d06914212a8395
    231         P        5335.99          15360         -10024  67343068360a13be  a0634372004676eb
    232         P        64031.9         355061        -291029  673817e0583b344b  d06762c6d29e2705
    233         C         138353    3.02141e+06   -2.88306e+06  68101b2944f454bb  3e03534c2fbb614e
    234         C            148             42            106  681bf7e97d670ed7  7d2794d8c1d87d3a
    235         C        1.33333            429       -427.667  68ab9583af6c0aca  8006b26353f18f12
    236         C        51154.9         764211        -713056  69df419d28b792aa  55491b52f91a4a21
    237         P        76.6666           3558       -3481.33  6a3747e2757a9c6a  a4e38d2c1798f9c5
    238         C         688967    1.97701e+07   -1.90811e+07  6bafa5de7344a941  3be3351089f42b90
    239         P     1.0704e+07    5.52236e+06    5.18164e+06  6bb0c172dfeffd24  4735dc5be4a23ed7
    240         P    1.07373e+07    5.87812e+06    4.85918e+06  6bf38d310f9cd510  13823847d9c8b1a9
    241         P    1.64411e+07    1.32752e+07     3.1659e+06  6bfa23eb89e12f6e  c283e7628fac3045
    242         P    6.01432e+08    3.98111e+08    2.03321e+08  6c6a90834f445686  feeea511aa3b2cc3
    243         C              4           1017          -1013  6d376e0833bd1fe0  f0091551216fd674
    244         P        19382.6          21831        -2448.4  6d7cbfd48a486554  36561cdaae48c6c1
    245         C        150.333           2343       -2192.67  6da7e77cf5535fe4  8264bdda83c1a9ca
    246         P    1.83381e+07         226380    1.81117e+07  6df52aee29d0224c  a35a1a56189aba26
    247         P         168692          40820         127872  6ec74b90d87cd8e2  a774bd243d63361a
    248         P    3.06022e+06    2.74021e+06         320010  6f651d3debf71d35  ac360f3feba952db
    249         C         102143    1.22324e+06    -1.1211e+06  6f7e4068f9a21aab  84d152a3ba7966ad
    250         P         114397          38400          75997  6fc5926da7e7b6c8  5a9a85c142d8e94e
    251         C       0.333333              4       -3.66667  7048714de585e206  eb7aeb666b878289
    252         C         147145    3.10223e+06   -2.95508e+06  72123da0bd86560e  f3683c392b5677ef
    253         C         162857     3.0963e+06   -2.93344e+06  72dd86b4ff812a21  3964d1f0a236d5de
    254         C            173            590           -417  73c5551e80d75322  c0185359045ce759
    255         P    9.15255e+07     4.1176e+07    5.03495e+07  7415fc5dc6297514  17544acba3880185
    256         P    2.16527e+06         716715    1.44856e+06  7470e17c38b23e25  09d6b6a685f1371d
    257         C        1.33333            374       -372.667  75489dae74e98ee3  f405a61647e4d910
    258         P    3.86287e+07    6.24298e+06    3.23857e+07  75aaf3e5e66880c6  1f6ae2caaff13055
    259         C     1.2013e+07    1.43035e+08   -1.31022e+08  75bd0e4024992771  cc1effaa1a5e420a
    260         C    2.48666e+06    5.87524e+08   -5.85037e+08  75d9da28a8121083  d5d2afa3020f921a
    261         P    1.05123e+06         452760         598470  76010c34fc699614  9d4a763ee0be4dda
    262         P    1.70405e+07    7.73266e+06    9.30784e+06  764dfa1f23b42d6a  5a2e7f5adc24a9ea
    263         P    1.54519e+06         566783         978407  76ed18652acebd2f  b7c93e5762dbf520
    264         C       0.666666           1960       -1959.33  771e5f27ea1c996a  26c7f125cf909e4e
    265         P    1.23284e+06         574782         658058  7760a1b7d646298b  97160d92498f8b02
    266         C       0.666666              4       -3.33333  77d2a4cbd03932a1  8acde2152690b88a
    267         C         108668      2.496e+06   -2.38733e+06  77d56a9487c6556a  0853c337755ce275
    268         P         112425          81954          30471  78980ddd4855f53e  717473f4dfcb7425
    269         C    2.44218e+06    2.36098e+07   -2.11676e+07  791323d9ccfc4f54  e59dfdcd3c7477f8
    270         C       0.666666             56       -55.3333  7a62c082fba2afc0  b2e0761ce19dd12e
    271         C        82357.9    1.24199e+06   -1.15963e+06  7aa8b6bab34f134d  e145dc8d05df198e
    272         P        158.333           2700       -2541.67  7ade8aac4a849936  a0018b921a3faf6d
    273         P         603261         230400         372861  7ae1d6061f4dd8a4  3db259c32f0f69f4
    274         C         791673    4.13914e+06   -3.34747e+06  7b2f2989ae7a5f82  4a349478ab8352d3
    275         C          17664         241920        -224256  7b441a3bc6bd7382  12b668a639e03fac
    276         P        7934.99           8640        -705.01  7cc1f87d36141c92  203105c80a5fd017
    277         C        9478.32          53699       -44220.7  7d192cefbe0494bb  5d3f44c33806e70c
    278         P        15433.7          61785       -46351.3  7d91e6279178f5a9  90472500e16ac857
    279         P         169957          40820         129137  7d940c433d4e94ea  41f5f82dab394f93
    280         P     3.6897e+06    1.95937e+06    1.73033e+06  7dcad6d74bf7cdf5  47f4016b01620263
    281         C        1.33333            172       -170.667  7e2733a8cc9c8d05  e3cade7f972eabd7
